source_file,raw_rows,kept_rows,dropped_rows,status
snapshot_sym0_date0_am.csv,1999,1900,99,成功
snapshot_sym0_date0_pm.csv,1999,1900,99,成功
snapshot_sym0_date10_am.csv,1999,1900,99,成功
snapshot_sym0_date10_pm.csv,1999,1900,99,成功
snapshot_sym0_date11_am.csv,1999,1900,99,成功
snapshot_sym0_date11_pm.csv,1999,1900,99,成功
snapshot_sym0_date12_am.csv,1999,1900,99,成功
snapshot_sym0_date12_pm.csv,1999,1900,99,成功
snapshot_sym0_date13_am.csv,1999,1900,99,成功
snapshot_sym0_date13_pm.csv,1999,1900,99,成功
snapshot_sym0_date14_am.csv,1999,1900,99,成功
snapshot_sym0_date14_pm.csv,1999,1900,99,成功
snapshot_sym0_date15_am.csv,1999,1900,99,成功
snapshot_sym0_date15_pm.csv,1999,1900,99,成功
snapshot_sym0_date16_am.csv,1999,1900,99,成功
snapshot_sym0_date16_pm.csv,1999,1900,99,成功
snapshot_sym0_date17_am.csv,1999,1900,99,成功
snapshot_sym0_date17_pm.csv,1999,1900,99,成功
snapshot_sym0_date18_am.csv,1999,1900,99,成功
snapshot_sym0_date18_pm.csv,1999,1900,99,成功
snapshot_sym0_date19_am.csv,1999,1900,99,成功
snapshot_sym0_date19_pm.csv,1999,1900,99,成功
snapshot_sym0_date1_am.csv,1999,1900,99,成功
snapshot_sym0_date1_pm.csv,1999,1900,99,成功
snapshot_sym0_date20_am.csv,1999,1900,99,成功
snapshot_sym0_date20_pm.csv,1999,1900,99,成功
snapshot_sym0_date21_am.csv,1999,1900,99,成功
snapshot_sym0_date21_pm.csv,1999,1900,99,成功
snapshot_sym0_date22_am.csv,1999,1900,99,成功
snapshot_sym0_date22_pm.csv,1999,1900,99,成功
snapshot_sym0_date23_am.csv,1999,1900,99,成功
snapshot_sym0_date23_pm.csv,1999,1900,99,成功
snapshot_sym0_date24_am.csv,1999,1900,99,成功
snapshot_sym0_date24_pm.csv,1999,1900,99,成功
snapshot_sym0_date25_am.csv,1999,1900,99,成功
snapshot_sym0_date25_pm.csv,1999,1900,99,成功
snapshot_sym0_date26_am.csv,1999,1900,99,成功
snapshot_sym0_date26_pm.csv,1999,1900,99,成功
snapshot_sym0_date27_am.csv,1999,1900,99,成功
snapshot_sym0_date27_pm.csv,1999,1900,99,成功
snapshot_sym0_date28_am.csv,1999,1900,99,成功
snapshot_sym0_date28_pm.csv,1999,1900,99,成功
snapshot_sym0_date29_am.csv,1999,1900,99,成功
snapshot_sym0_date29_pm.csv,1999,1900,99,成功
snapshot_sym0_date2_am.csv,1999,1900,99,成功
snapshot_sym0_date2_pm.csv,1999,1900,99,成功
snapshot_sym0_date30_am.csv,1999,1900,99,成功
snapshot_sym0_date30_pm.csv,1999,1900,99,成功
snapshot_sym0_date31_am.csv,1999,1900,99,成功
snapshot_sym0_date31_pm.csv,1999,1900,99,成功
snapshot_sym0_date32_am.csv,1999,1900,99,成功
snapshot_sym0_date32_pm.csv,1999,1900,99,成功
snapshot_sym0_date33_am.csv,1999,1900,99,成功
snapshot_sym0_date33_pm.csv,1999,1900,99,成功
snapshot_sym0_date34_am.csv,1999,1900,99,成功
snapshot_sym0_date34_pm.csv,1999,1900,99,成功
snapshot_sym0_date35_am.csv,1999,1900,99,成功
snapshot_sym0_date35_pm.csv,1999,1900,99,成功
snapshot_sym0_date36_am.csv,1999,1900,99,成功
snapshot_sym0_date36_pm.csv,1999,1900,99,成功
snapshot_sym0_date37_am.csv,1999,1900,99,成功
snapshot_sym0_date37_pm.csv,1999,1900,99,成功
snapshot_sym0_date38_am.csv,1999,1900,99,成功
snapshot_sym0_date38_pm.csv,1999,1900,99,成功
snapshot_sym0_date39_am.csv,1999,1900,99,成功
snapshot_sym0_date39_pm.csv,1999,1900,99,成功
snapshot_sym0_date3_am.csv,1999,1900,99,成功
snapshot_sym0_date3_pm.csv,1999,1900,99,成功
snapshot_sym0_date40_am.csv,1999,1900,99,成功
snapshot_sym0_date40_pm.csv,1999,1900,99,成功
snapshot_sym0_date41_am.csv,1999,1900,99,成功
snapshot_sym0_date41_pm.csv,1999,1900,99,成功
snapshot_sym0_date42_pm.csv,1999,1900,99,成功
snapshot_sym0_date43_am.csv,1999,1900,99,成功
snapshot_sym0_date43_pm.csv,1999,1900,99,成功
snapshot_sym0_date44_pm.csv,1999,1900,99,成功
snapshot_sym0_date45_am.csv,1999,1900,99,成功
snapshot_sym0_date45_pm.csv,1999,1900,99,成功
snapshot_sym0_date46_am.csv,1999,1900,99,成功
snapshot_sym0_date46_pm.csv,1999,1900,99,成功
snapshot_sym0_date47_am.csv,1999,1900,99,成功
snapshot_sym0_date47_pm.csv,1999,1900,99,成功
snapshot_sym0_date48_am.csv,1999,1900,99,成功
snapshot_sym0_date48_pm.csv,1999,1900,99,成功
snapshot_sym0_date49_am.csv,1999,1900,99,成功
snapshot_sym0_date49_pm.csv,1999,1900,99,成功
snapshot_sym0_date4_am.csv,1999,1900,99,成功
snapshot_sym0_date4_pm.csv,1999,1900,99,成功
snapshot_sym0_date50_am.csv,1999,1900,99,成功
snapshot_sym0_date50_pm.csv,1999,1900,99,成功
snapshot_sym0_date51_am.csv,1999,1900,99,成功
snapshot_sym0_date51_pm.csv,1999,1900,99,成功
snapshot_sym0_date52_am.csv,1999,1900,99,成功
snapshot_sym0_date52_pm.csv,1999,1900,99,成功
snapshot_sym0_date53_am.csv,1999,1900,99,成功
snapshot_sym0_date53_pm.csv,1999,1900,99,成功
snapshot_sym0_date54_am.csv,1999,1900,99,成功
snapshot_sym0_date54_pm.csv,1999,1900,99,成功
snapshot_sym0_date55_am.csv,1999,1900,99,成功
snapshot_sym0_date55_pm.csv,1999,1900,99,成功
snapshot_sym0_date56_am.csv,1999,1900,99,成功
snapshot_sym0_date56_pm.csv,1999,1900,99,成功
snapshot_sym0_date57_am.csv,1999,1900,99,成功
snapshot_sym0_date57_pm.csv,1999,1900,99,成功
snapshot_sym0_date5_am.csv,1999,1900,99,成功
snapshot_sym0_date5_pm.csv,1999,1900,99,成功
snapshot_sym0_date63_am.csv,1999,1900,99,成功
snapshot_sym0_date63_pm.csv,1999,1900,99,成功
snapshot_sym0_date64_am.csv,1999,1900,99,成功
snapshot_sym0_date64_pm.csv,1999,1900,99,成功
snapshot_sym0_date65_am.csv,1999,1900,99,成功
snapshot_sym0_date65_pm.csv,1999,1900,99,成功
snapshot_sym0_date66_am.csv,1999,1900,99,成功
snapshot_sym0_date66_pm.csv,1999,1900,99,成功
snapshot_sym0_date67_am.csv,1999,1900,99,成功
snapshot_sym0_date67_pm.csv,1999,1900,99,成功
snapshot_sym0_date68_am.csv,1999,1900,99,成功
snapshot_sym0_date68_pm.csv,1999,1900,99,成功
snapshot_sym0_date69_am.csv,1999,1900,99,成功
snapshot_sym0_date69_pm.csv,1999,1900,99,成功
snapshot_sym0_date6_am.csv,1999,1900,99,成功
snapshot_sym0_date6_pm.csv,1999,1900,99,成功
snapshot_sym0_date70_am.csv,1999,1900,99,成功
snapshot_sym0_date70_pm.csv,1999,1900,99,成功
snapshot_sym0_date71_am.csv,1999,1900,99,成功
snapshot_sym0_date71_pm.csv,1999,1900,99,成功
snapshot_sym0_date72_am.csv,1999,1900,99,成功
snapshot_sym0_date72_pm.csv,1999,1900,99,成功
snapshot_sym0_date73_am.csv,1999,1900,99,成功
snapshot_sym0_date73_pm.csv,1999,1900,99,成功
snapshot_sym0_date74_am.csv,1999,1900,99,成功
snapshot_sym0_date74_pm.csv,1999,1900,99,成功
snapshot_sym0_date75_am.csv,1999,1900,99,成功
snapshot_sym0_date75_pm.csv,1999,1900,99,成功
snapshot_sym0_date76_am.csv,1999,1900,99,成功
snapshot_sym0_date76_pm.csv,1999,1900,99,成功
snapshot_sym0_date77_am.csv,1999,1900,99,成功
snapshot_sym0_date77_pm.csv,1999,1900,99,成功
snapshot_sym0_date78_am.csv,1999,1900,99,成功
snapshot_sym0_date78_pm.csv,1999,1900,99,成功
snapshot_sym0_date7_am.csv,1999,1900,99,成功
snapshot_sym0_date7_pm.csv,1999,1900,99,成功
snapshot_sym0_date8_am.csv,1999,1900,99,成功
snapshot_sym0_date8_pm.csv,1999,1900,99,成功
snapshot_sym0_date9_am.csv,1999,1900,99,成功
snapshot_sym0_date9_pm.csv,1999,1900,99,成功
snapshot_sym1_date0_am.csv,1999,1900,99,成功
snapshot_sym1_date0_pm.csv,1999,1900,99,成功
snapshot_sym1_date10_am.csv,1999,1900,99,成功
snapshot_sym1_date10_pm.csv,1999,1900,99,成功
snapshot_sym1_date11_am.csv,1999,1900,99,成功
snapshot_sym1_date11_pm.csv,1999,1900,99,成功
snapshot_sym1_date12_am.csv,1999,1900,99,成功
snapshot_sym1_date12_pm.csv,1999,1900,99,成功
snapshot_sym1_date13_am.csv,1999,1900,99,成功
snapshot_sym1_date13_pm.csv,1999,1900,99,成功
snapshot_sym1_date14_am.csv,1999,1900,99,成功
snapshot_sym1_date14_pm.csv,1999,1900,99,成功
snapshot_sym1_date15_am.csv,1999,1900,99,成功
snapshot_sym1_date15_pm.csv,1999,1900,99,成功
snapshot_sym1_date16_am.csv,1999,1900,99,成功
snapshot_sym1_date16_pm.csv,1999,1900,99,成功
snapshot_sym1_date17_am.csv,1999,1900,99,成功
