sym_id,date_id,session,expected_file_name
0,42,am,snapshot_sym0_date42_am.csv
0,44,am,snapshot_sym0_date44_am.csv
0,58,am,snapshot_sym0_date58_am.csv
0,58,pm,snapshot_sym0_date58_pm.csv
0,59,am,snapshot_sym0_date59_am.csv
0,59,pm,snapshot_sym0_date59_pm.csv
0,60,am,snapshot_sym0_date60_am.csv
0,60,pm,snapshot_sym0_date60_pm.csv
0,61,am,snapshot_sym0_date61_am.csv
0,61,pm,snapshot_sym0_date61_pm.csv
0,62,am,snapshot_sym0_date62_am.csv
0,62,pm,snapshot_sym0_date62_pm.csv
1,42,am,snapshot_sym1_date42_am.csv
1,44,am,snapshot_sym1_date44_am.csv
2,42,am,snapshot_sym2_date42_am.csv
2,44,am,snapshot_sym2_date44_am.csv
3,42,am,snapshot_sym3_date42_am.csv
3,44,am,snapshot_sym3_date44_am.csv
4,42,am,snapshot_sym4_date42_am.csv
4,44,am,snapshot_sym4_date44_am.csv
5,0,am,snapshot_sym5_date0_am.csv
5,0,pm,snapshot_sym5_date0_pm.csv
5,1,am,snapshot_sym5_date1_am.csv
5,1,pm,snapshot_sym5_date1_pm.csv
5,2,pm,snapshot_sym5_date2_pm.csv
5,4,am,snapshot_sym5_date4_am.csv
5,4,pm,snapshot_sym5_date4_pm.csv
5,6,pm,snapshot_sym5_date6_pm.csv
5,7,am,snapshot_sym5_date7_am.csv
5,8,pm,snapshot_sym5_date8_pm.csv
5,9,pm,snapshot_sym5_date9_pm.csv
5,13,am,snapshot_sym5_date13_am.csv
5,13,pm,snapshot_sym5_date13_pm.csv
5,14,am,snapshot_sym5_date14_am.csv
5,14,pm,snapshot_sym5_date14_pm.csv
5,15,am,snapshot_sym5_date15_am.csv
5,15,pm,snapshot_sym5_date15_pm.csv
5,37,pm,snapshot_sym5_date37_pm.csv
5,38,pm,snapshot_sym5_date38_pm.csv
5,42,am,snapshot_sym5_date42_am.csv
5,44,am,snapshot_sym5_date44_am.csv
5,66,am,snapshot_sym5_date66_am.csv
5,66,pm,snapshot_sym5_date66_pm.csv
5,67,pm,snapshot_sym5_date67_pm.csv
5,78,pm,snapshot_sym5_date78_pm.csv
6,0,am,snapshot_sym6_date0_am.csv
6,0,pm,snapshot_sym6_date0_pm.csv
6,1,am,snapshot_sym6_date1_am.csv
6,1,pm,snapshot_sym6_date1_pm.csv
6,2,am,snapshot_sym6_date2_am.csv
6,2,pm,snapshot_sym6_date2_pm.csv
6,3,am,snapshot_sym6_date3_am.csv
6,3,pm,snapshot_sym6_date3_pm.csv
6,4,am,snapshot_sym6_date4_am.csv
6,4,pm,snapshot_sym6_date4_pm.csv
6,5,am,snapshot_sym6_date5_am.csv
6,5,pm,snapshot_sym6_date5_pm.csv
8,10,pm,snapshot_sym8_date10_pm.csv
8,11,pm,snapshot_sym8_date11_pm.csv
